K00752.01,881,115999.79591151686,gas
K00752.02,492,115999.79591151686,gas
K00755.01,1407,74290.87364905865,gas
K00756.01,835,260756.71604386187,gas
K00756.02,1160,106478.110275168,gas
K00756.03,1360,431315.3590122893,gas
K00757.01,571,585025.5456148423,gas
K00112.02,1236,170277.63864296264,gas
K00746.01,649,57746.92670277988,gas
K00747.01,685,120985.91873211997,gas
K00749.01,918,73165.78227404358,gas
K00749.02,1017,468252.1496119464,gas
K00749.03,799,146327.1536988498,gas
K00750.01,430,406960.2560220181,gas
K00751.01,917,73165.78227404358,gas
K00769.01,1014,3.055296312565631e6,gas
K00773.01,541,73165.78227404358,gas
K00757.02,417,189134.23521575393,gas
K00757.03,782,3.736647573523911e6,gas
K00758.01,593,88882.2248433507,gas
K00759.02,358,1.8575217729485203e6,liquid
K00762.01,1133,2.266949367793415e6,gas
K00115.01,1306,139095.65390084303,gas
K00764.01,516,754154.4757517915,gas
K00765.01,789,59038.10667365428,gas
K00766.01,1244,355796.323162347,gas
K00786.01,1147,1.2170528346633844e6,gas
K00787.01,1074,112184.88532853391,gas
K00787.02,784,209492.50237376022,gas
K00788.01,491,123435.11999050785,gas
K00116.01,796,3.2142312537684324e6,gas
K00115.02,1191,993093.4879103141,gas
K00775.01,392,832514.3593961354,liquid
K00775.02,500,3.055296312565631e6,liquid
K00775.03,300,810476.6448045266,liquid
K00776.01,1022,999502.7537377371,gas
K00777.01,468,2.396210395709946e6,liquid
K00778.01,685,217120.46863260708,gas
K00780.01,1054,3.4645739061195413e6,gas
K00780.02,723,602025.0211019856,gas
K00115.03,1519,17857.55120619026,gas
K00781.01,400,112184.88532853391,gas
K00782.01,1015,622888.6309473017,gas
K00783.01,833,473529.2066315931,gas
K00784.01,343,676601.498305141,liquid
K00784.02,426,493846.5999533699,gas
K00785.01,680,72035.34693794935,gas
K00116.02,538,62319.536766853504,gas
K00800.01,1405,189134.23521575393,gas
K00800.02,1015,172090.5041424559,gas
K00790.01,752,74290.87364905865,gas
K00790.02,390,75021.28689589481,gas
K00791.01,753,1.9983472271332308e6,gas
K00794.01,1348,1.2469854969796764e6,gas
K00795.01,813,69384.2023068157,gas
K00797.01,819,2.6008378103503035e6,gas
K00812.02,350,1.3115961426282444e6,liquid
K00812.03,265,1.1567858768282838e6,solid
K00116.04,658,73683.39037760523,gas
