K00752.01,996.8813006852746,115999.79591151686,gas
K00752.02,556.7146423804257,115999.79591151686,gas
K00755.01,1592.0680931489005,74290.87364905865,gas
K00756.01,944.8307446903567,260756.71604386187,gas
K00756.02,1312.5792381327112,106478.110275168,gas
K00756.03,1538.8860033280062,431315.3590122893,gas
K00757.01,646.1058146325673,585025.5456148423,Missing["NotAvailable"]
K00112.02,1398.5758089069232,170277.63864296264,gas
K00746.01,734.3654530587323,57746.92670277988,gas
K00747.01,775.1006707938855,120985.91873211997,gas
K00749.01,1038.748052246404,73165.78227404358,gas
K00749.02,1150.7699010180752,468252.1496119464,gas
K00749.03,904.0955269552036,146327.1536988498,gas
K00750.01,486.5595451698843,406960.2560220181,gas
K00751.01,1037.6165184204276,73165.78227404358,gas
K00769.01,1147.3752995401458,3.055296312565631e6,gas
K00773.01,612.1597998532731,73165.78227404358,gas
K00757.02,471.8496054321901,189134.23521575393,gas
K00757.03,884.8594519136035,3.736647573523911e6,gas
K00758.01,670.9995588040498,88882.2248433507,gas
K00759.02,405.0891096995781,1.8575217729485203e6,liquid
K00762.01,1282.0278248313464,2.266949367793415e6,gas
K00115.01,1477.7831767252765,139095.65390084303,gas
K00764.01,583.8714542038612,754154.4757517915,gas
K00765.01,892.7801886954388,59038.10667365428,gas
K00766.01,1407.628079514735,355796.323162347,gas
K00786.01,1297.869298395017,1.2170528346633844e6,gas
K00787.01,1215.2673290987343,112184.88532853391,gas
K00787.02,887.1225195655564,209492.50237376022,gas
K00788.01,555.5831085544493,123435.11999050785,gas
K00116.01,900.7009254772742,3.2142312537684324e6,gas
K00115.02,1347.656786737982,993093.4879103141,gas
K00775.01,443.5612597827782,832514.3593961354,liquid
K00775.02,565.7669129882376,3.055296312565631e6,gas
K00775.03,339.4601477929425,810476.6448045266,liquid
K00776.01,1156.4275701479576,999502.7537377371,gas
K00777.01,529.5578305569903,2.396210395709946e6,gas
K00778.01,775.1006707938855,217120.46863260708,gas
K00780.01,1192.6366525792048,3.4645739061195413e6,gas
K00780.02,818.0989561809915,602025.0211019856,gas
K00115.03,1718.7998816582658,17857.55120619026,gas
K00781.01,452.61353039059003,112184.88532853391,gas
K00782.01,1148.5068333661222,622888.6309473017,Missing["NotAvailable"]
K00783.01,942.5676770384038,473529.2066315931,gas
K00784.01,388.11610230993097,676601.498305141,liquid
K00784.02,482.0334098659784,493846.5999533699,gas
K00785.01,769.4430016640031,72035.34693794935,gas
K00116.02,608.7651983753436,62319.536766853504,gas
K00800.01,1589.8050254969476,189134.23521575393,gas
K00800.02,1148.5068333661222,172090.5041424559,gas
K00790.01,850.9134371343093,74290.87364905865,gas
