P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1116.01,,1116.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.66,,1.52,1.04,1.58,1.55,        557.0421,        557.0421,        557.0422,1237.7,1237.7,1237.7,1277.4,1277.4,1277.4,3.8,-24.98,2.89,3.75,0.0465,0.00,0.05,89.4,0.0,KOI-1116,,,Lyr,G,0.95,1.11,5735.0,1.204464,0.000,,13.3,501.53,19.3923,38.0576,-33.6,12.7936,1,0,0.826,1.948,-2.39,-0.15,-0.88,0.28,0.00,0.00,0.00,0.28,0,0,0,0,transit,2011
KOI-1117.01,,1117.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,26.43,,2.49,1.71,4.26,3.26,        498.3523,        498.3524,        498.3524,1203.7,1203.7,1203.7,1254.0,1254.0,1254.0,45.2,-25.94,4.73,11.09,0.1068,0.00,0.11,90.0,0.0,KOI-1117,,,Lyr,F,1.32,1.97,6350.0,5.684326,0.000,,12.8,856.52,19.4021,38.2120,-33.5,9.8621,1,0,1.728,4.021,-2.41,-0.11,0.09,0.29,0.00,0.00,0.00,0.23,0,0,0,0,transit,2011
KOI-1118.01,,1118.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.31,,1.59,1.07,1.70,1.65,        240.7091,        240.7091,        240.7092,1003.5,1003.5,1003.5,1044.0,1044.0,1044.0,4.6,-24.17,3.02,7.37,0.0737,0.00,0.07,89.4,0.0,KOI-1118,,,Lyr,G,0.98,1.07,5973.0,1.307457,0.000,,13.8,657.71,19.4434,38.0282,-32.7,7.7429,1,0,0.848,1.988,-2.36,-0.15,-0.73,0.29,0.00,0.00,0.00,0.28,0,0,0,0,transit,2011
KOI-1127.01,Kepler-269 b,1127.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,24.51,,2.45,1.67,4.08,3.16,        243.5747,        243.5748,        243.5748,1006.5,1006.5,1006.5,1056.4,1056.4,1056.4,40.8,-25.12,4.66,5.33,0.0601,0.00,0.06,88.2,0.0,KOI-1127,,,Lyr,G,1.02,0.92,5831.0,0.879794,0.000,,15.8,1332.67,19.3477,41.7760,-32.7,8.1736,3,0,0.702,1.651,-2.35,-0.11,0.20,0.30,0.00,0.00,0.00,0.24,0,0,0,1,transit,2011
KOI-1127.02,Kepler-269 c,1127.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.61,,1.62,1.08,1.76,1.69,        138.8529,        138.8529,        138.8530,874.5,874.5,874.5,915.4,915.4,915.4,5.0,-23.61,3.08,8.13,0.0796,0.00,0.08,89.4,0.0,KOI-1127,,,Lyr,G,1.02,0.92,5831.0,0.879794,0.000,,15.8,1332.67,19.3477,41.7760,-32.1,6.1690,3,0,0.702,1.651,-2.31,-0.15,-0.63,0.29,0.00,0.00,0.00,0.28,0,0,0,1,transit,2011
KOI-1127.03,,1127.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.74,,1.23,0.94,1.15,1.19,        563.8802,        563.8804,        563.8805,1241.5,1241.5,1241.5,1277.6,1277.6,1277.6,1.6,-24.54,2.34,2.84,0.0395,0.00,0.04,87.7,0.0,KOI-1127,,,Lyr,G,1.02,0.92,5831.0,0.879794,0.000,,15.8,1332.67,19.3477,41.7760,-33.6,12.4502,3,0,0.702,1.651,-2.40,-0.16,-1.08,0.28,0.00,0.00,0.00,0.29,0,0,0,0,transit,2011
KOI-1128.01,,1128.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.56,,1.19,0.92,1.10,1.14,        1609.879,        1609.879,        1609.879,1613.8,1613.8,1613.8,1649.3,1649.3,1649.3,1.4,-25.61,2.26,0.97,0.0187,0.00,0.02,87.1,0.0,KOI-1128,,,Lyr,G,0.92,0.83,5487.0,0.562959,0.000,,13.5,371.34,19.4289,41.7034,-34.8,23.8830,1,0,0.573,1.361,-2.41,-0.17,-1.18,0.27,0.00,0.00,0.00,0.29,0,0,0,0,transit,2011
KOI-1129.01,,1129.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.60,,1.38,0.99,1.36,1.37,        158.3244,        158.3244,        158.3244,903.7,903.7,903.7,941.7,941.7,941.7,2.6,-23.40,2.62,4.90,0.0523,0.00,0.05,90.0,0.0,KOI-1129,,,Lyr,G,0.80,0.85,5093.0,0.433063,0.000,,15.5,795.69,19.1515,41.6356,-32.3,8.6388,1,0,0.513,1.236,-2.27,-0.16,-0.85,0.29,0.00,0.00,0.00,0.29,0,0,0,0,transit,2011
KOI-1137.01,,1137.01,Warm,Jovian,,,non-habitable,,,,34.99,,,,       0.6378993,       0.6378993,       0.6378993,227.7,227.7,227.7,,,,,-24.44,70.94,302.39,0.7792,0.00,0.78,90.0,0.0,KOI-1137,,,Cyg,G,0.69,0.73,5324.0,0.387302,0.000,,14.0,393.41,20.1139,44.2818,-26.2,0.5013,1,1,0.479,1.145,-0.10,,,,0.00,0.00,0.00,0.31,0,0,1,0,transit,2011
KOI-1141.01,,1141.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.57,,1.51,1.04,1.57,1.54,        28.76803,        28.76804,        28.76804,590.0,590.0,590.0,629.6,629.6,629.6,3.7,-21.74,2.87,5.73,0.0526,0.00,0.05,90.0,0.0,KOI-1141,,,Lyr,K,0.59,0.57,4065.0,0.079594,0.000,,15.9,427.80,18.8483,44.3465,-30.4,5.7774,1,0,0.228,0.576,-2.01,-0.15,-0.51,0.32,0.00,0.00,0.00,0.32,0,0,0,0,transit,2011
